step,cuda_device_index,initial_loss,aesthetic_loss,total_loss
0,1,0.07522818446159363,0.6942658424377441,0.13150432705879211
0,3,0.0840642899274826,0.6942658424377441,0.13953715562820435
0,0,0.06795233488082886,0.6942658424377441,0.12488991767168045
0,2,0.07144276052713394,0.6942658424377441,0.12806303799152374
1,2,0.09913189709186554,0.6824428141117096,0.1521601527929306
1,1,0.1111927181482315,0.6824428141117096,0.16312453150749207
1,0,0.09166228771209717,0.6824428141117096,0.14536960422992706
1,3,0.10677579790353775,0.6824428141117096,0.15910914540290833
2,2,0.07492314279079437,0.6884870529174805,0.1307016909122467
2,1,0.08415979146957397,0.6884870529174805,0.1390986293554306
2,3,0.10788536071777344,0.6884870529174805,0.1606673151254654
2,0,0.09218937158584595,0.6884870529174805,0.14639824628829956
3,1,0.1005399078130722,0.6948910057544708,0.15457183122634888
3,0,0.07537750154733658,0.6948910057544708,0.1316969096660614
3,3,0.08416810631752014,0.6948910057544708,0.13968835771083832
3,2,0.09620632231235504,0.6948910057544708,0.15063220262527466
4,0,0.08484473824501038,0.7008276581764221,0.14084318280220032
4,1,0.12228140234947205,0.7008276581764221,0.17487651109695435
4,2,0.13112249970436096,0.7008276581764221,0.1829138696193695
4,3,0.13074177503585815,0.7008276581764221,0.18256776034832
5,2,0.0950743556022644,0.6933664679527283,0.14946454763412476
5,1,0.09710010886192322,0.6933664679527283,0.1513061374425888
5,0,0.12475165724754333,0.6933664679527283,0.1764439046382904
5,3,0.09149492532014847,0.6933664679527283,0.14621050655841827
6,1,0.07683129608631134,0.695265144109726,0.1330525428056717
6,0,0.09445212036371231,0.695265144109726,0.14907148480415344
6,2,0.10814734548330307,0.695265144109726,0.16152168810367584
6,3,0.0616443008184433,0.695265144109726,0.11924618482589722
7,1,0.14414064586162567,0.6967300474643707,0.19437603652477264
7,2,0.09246283769607544,0.6967300474643707,0.14739620685577393
7,0,0.10542547702789307,0.6967300474643707,0.1591804325580597
7,3,0.09183777868747711,0.6967300474643707,0.14682798087596893
8,1,0.18321934342384338,0.6845938265323639,0.22879883646965027
8,0,0.10574875771999359,0.6845938265323639,0.15837103128433228
8,2,0.12690651416778564,0.6845938265323639,0.17760536074638367
8,3,0.18314337730407715,0.6845938265323639,0.22872978448867798
9,1,0.1113196313381195,0.6985950469970703,0.16470830142498016
9,2,0.07725600153207779,0.6985950469970703,0.1337413638830185
9,0,0.09031762927770615,0.6985950469970703,0.1456155776977539
